ts,price,action,charge_mwh_from_grid,discharge_mwh_to_grid,soc_mwh,cashflow_eur,cum_pnl_eur
2025-04-30 20:00:00,46.99,discharge,0.0,0.0,0.0,0.0,0.0
2025-04-30 21:00:00,43.65,discharge,0.0,0.0,0.0,0.0,0.0
2025-04-30 22:00:00,42.5,charge,5.0,0.0,4.743416490252569,-212.5,-212.5
2025-04-30 23:00:00,38.06,charge,5.0,0.0,9.486832980505138,-190.3,-402.8
2025-05-01 00:00:00,35.7,idle,0.0,0.0,9.486832980505138,0.0,-402.8
2025-05-01 01:00:00,35.21,idle,0.0,0.0,9.486832980505138,0.0,-402.8
2025-05-01 02:00:00,34.85,idle,0.0,0.0,9.486832980505138,0.0,-402.8
2025-05-01 03:00:00,33.46,idle,0.0,0.0,9.486832980505138,0.0,-402.8
2025-05-01 04:00:00,36.19,idle,0.0,0.0,9.486832980505138,0.0,-402.8
2025-05-01 05:00:00,13.08,idle,0.0,0.0,9.486832980505138,0.0,-402.8
2025-05-01 06:00:00,1.67,idle,0.0,0.0,9.486832980505138,0.0,-402.8
2025-05-01 07:00:00,-1.38,idle,0.0,0.0,9.486832980505138,0.0,-402.8
2025-05-01 08:00:00,-2.0,idle,0.0,0.0,9.486832980505138,0.0,-402.8
2025-05-01 09:00:00,-2.72,charge,0.5409255338945976,0.0,10.0,1.4713174521933057,-401.3286825478067
2025-05-01 10:00:00,-5.02,charge,0.0,0.0,10.0,0.0,-401.3286825478067
2025-05-01 11:00:00,-1.34,idle,0.0,0.0,10.0,0.0,-401.3286825478067
2025-05-01 12:00:00,2.28,idle,0.0,0.0,10.0,0.0,-401.3286825478067
2025-05-01 13:00:00,21.04,idle,0.0,0.0,10.0,0.0,-401.3286825478067
2025-05-01 14:00:00,32.07,idle,0.0,0.0,10.0,0.0,-401.3286825478067
2025-05-01 15:00:00,33.88,idle,0.0,0.0,10.0,0.0,-401.3286825478067
2025-05-01 16:00:00,35.18,idle,0.0,0.0,10.0,0.0,-401.3286825478067
2025-05-01 17:00:00,46.77,discharge,0.0,5.0,4.729537233052701,233.85000000000002,-167.47868254780667
2025-05-01 18:00:00,49.18,discharge,0.0,4.486832980505138,0.0,220.66244598124268,53.18376343343601
2025-05-01 19:00:00,33.27,idle,0.0,0.0,0.0,0.0,53.18376343343601
2025-05-01 20:00:00,31.28,idle,0.0,0.0,0.0,0.0,53.18376343343601
2025-05-01 21:00:00,29.3,idle,0.0,0.0,0.0,0.0,53.18376343343601
2025-05-01 22:00:00,27.64,idle,0.0,0.0,0.0,0.0,53.18376343343601
2025-05-01 23:00:00,27.29,idle,0.0,0.0,0.0,0.0,53.18376343343601
2025-05-02 00:00:00,26.8,idle,0.0,0.0,0.0,0.0,53.18376343343601
2025-05-02 01:00:00,27.89,idle,0.0,0.0,0.0,0.0,53.18376343343601
2025-05-02 02:00:00,30.92,idle,0.0,0.0,0.0,0.0,53.18376343343601
2025-05-02 03:00:00,31.23,idle,0.0,0.0,0.0,0.0,53.18376343343601
2025-05-02 04:00:00,27.48,idle,0.0,0.0,0.0,0.0,53.18376343343601
2025-05-02 05:00:00,27.1,idle,0.0,0.0,0.0,0.0,53.18376343343601
2025-05-02 06:00:00,1.15,idle,0.0,0.0,0.0,0.0,53.18376343343601
2025-05-02 07:00:00,0.27,idle,0.0,0.0,0.0,0.0,53.18376343343601
2025-05-02 08:00:00,-0.55,idle,0.0,0.0,0.0,0.0,53.18376343343601
2025-05-02 09:00:00,-2.49,charge,5.0,0.0,4.743416490252569,12.450000000000001,65.63376343343602
2025-05-02 10:00:00,-2.35,charge,5.0,0.0,9.486832980505138,11.75,77.38376343343602
2025-05-02 11:00:00,-0.18,idle,0.0,0.0,9.486832980505138,0.0,77.38376343343602
2025-05-02 12:00:00,0.68,idle,0.0,0.0,9.486832980505138,0.0,77.38376343343602
2025-05-02 13:00:00,5.72,idle,0.0,0.0,9.486832980505138,0.0,77.38376343343602
2025-05-02 14:00:00,30.56,idle,0.0,0.0,9.486832980505138,0.0,77.38376343343602
2025-05-02 15:00:00,31.93,idle,0.0,0.0,9.486832980505138,0.0,77.38376343343602
2025-05-02 16:00:00,34.96,discharge,0.0,5.0,4.216370213557839,174.8,252.183763433436
2025-05-02 17:00:00,34.66,discharge,0.0,4.0,0.0,138.64,390.823763433436
2025-05-02 18:00:00,31.82,idle,0.0,0.0,0.0,0.0,390.823763433436
2025-05-02 19:00:00,30.35,idle,0.0,0.0,0.0,0.0,390.823763433436
2025-05-02 20:00:00,29.24,idle,0.0,0.0,0.0,0.0,390.823763433436
2025-05-02 21:00:00,30.55,idle,0.0,0.0,0.0,0.0,390.823763433436
2025-05-02 22:00:00,30.17,idle,0.0,0.0,0.0,0.0,390.823763433436
2025-05-02 23:00:00,30.16,idle,0.0,0.0,0.0,0.0,390.823763433436
2025-05-03 00:00:00,30.74,idle,0.0,0.0,0.0,0.0,390.823763433436
2025-05-03 01:00:00,30.57,idle,0.0,0.0,0.0,0.0,390.823763433436
2025-05-03 02:00:00,30.32,idle,0.0,0.0,0.0,0.0,390.823763433436
2025-05-03 03:00:00,30.41,idle,0.0,0.0,0.0,0.0,390.823763433436
2025-05-03 04:00:00,28.3,idle,0.0,0.0,0.0,0.0,390.823763433436
2025-05-03 05:00:00,7.27,idle,0.0,0.0,0.0,0.0,390.823763433436
2025-05-03 06:00:00,0.19,idle,0.0,0.0,0.0,0.0,390.823763433436
2025-05-03 07:00:00,-0.09,idle,0.0,0.0,0.0,0.0,390.823763433436
2025-05-03 08:00:00,-0.76,idle,0.0,0.0,0.0,0.0,390.823763433436
2025-05-03 09:00:00,-2.39,charge,5.0,0.0,4.743416490252569,11.950000000000001,402.773763433436
2025-05-03 10:00:00,-2.28,charge,5.0,0.0,9.486832980505138,11.399999999999999,414.17376343343597
2025-05-03 11:00:00,-0.01,idle,0.0,0.0,9.486832980505138,0.0,414.17376343343597
2025-05-03 12:00:00,0.93,idle,0.0,0.0,9.486832980505138,0.0,414.17376343343597
2025-05-03 13:00:00,18.4,idle,0.0,0.0,9.486832980505138,0.0,414.17376343343597
2025-05-03 14:00:00,30.12,idle,0.0,0.0,9.486832980505138,0.0,414.17376343343597
2025-05-03 15:00:00,37.02,idle,0.0,0.0,9.486832980505138,0.0,414.17376343343597
2025-05-03 16:00:00,41.76,discharge,0.0,5.0,4.216370213557839,208.79999999999998,622.9737634334359
2025-05-03 17:00:00,37.85,discharge,0.0,4.0,0.0,151.4,774.3737634334359
2025-05-03 18:00:00,33.58,idle,0.0,0.0,0.0,0.0,774.3737634334359
2025-05-03 19:00:00,32.26,idle,0.0,0.0,0.0,0.0,774.3737634334359
2025-05-03 20:00:00,30.8,idle,0.0,0.0,0.0,0.0,774.3737634334359
2025-05-03 21:00:00,23.21,idle,0.0,0.0,0.0,0.0,774.3737634334359
2025-05-03 22:00:00,15.85,idle,0.0,0.0,0.0,0.0,774.3737634334359
2025-05-03 23:00:00,10.62,idle,0.0,0.0,0.0,0.0,774.3737634334359
2025-05-04 00:00:00,10.4,idle,0.0,0.0,0.0,0.0,774.3737634334359
2025-05-04 01:00:00,8.29,idle,0.0,0.0,0.0,0.0,774.3737634334359
2025-05-04 02:00:00,7.3,idle,0.0,0.0,0.0,0.0,774.3737634334359
2025-05-04 03:00:00,4.1,idle,0.0,0.0,0.0,0.0,774.3737634334359
2025-05-04 04:00:00,1.75,idle,0.0,0.0,0.0,0.0,774.3737634334359
2025-05-04 05:00:00,-0.02,idle,0.0,0.0,0.0,0.0,774.3737634334359
2025-05-04 06:00:00,-0.03,idle,0.0,0.0,0.0,0.0,774.3737634334359
2025-05-04 07:00:00,-0.06,idle,0.0,0.0,0.0,0.0,774.3737634334359
2025-05-04 08:00:00,-0.04,idle,0.0,0.0,0.0,0.0,774.3737634334359
2025-05-04 09:00:00,-1.64,charge,5.0,0.0,4.743416490252569,8.2,782.5737634334359
2025-05-04 10:00:00,-4.11,charge,5.0,0.0,9.486832980505138,20.55,803.1237634334359
2025-05-04 11:00:00,-1.2,idle,0.0,0.0,9.486832980505138,0.0,803.1237634334359
2025-05-04 12:00:00,0.16,idle,0.0,0.0,9.486832980505138,0.0,803.1237634334359
2025-05-04 13:00:00,8.6,idle,0.0,0.0,9.486832980505138,0.0,803.1237634334359
2025-05-04 14:00:00,32.12,idle,0.0,0.0,9.486832980505138,0.0,803.1237634334359
2025-05-04 15:00:00,34.33,idle,0.0,0.0,9.486832980505138,0.0,803.1237634334359
2025-05-04 16:00:00,38.6,idle,0.0,0.0,9.486832980505138,0.0,803.1237634334359
2025-05-04 17:00:00,49.04,discharge,0.0,5.0,4.216370213557839,245.2,1048.323763433436
2025-05-04 18:00:00,49.1,discharge,0.0,4.0,0.0,196.4,1244.723763433436
2025-05-04 19:00:00,40.88,idle,0.0,0.0,0.0,0.0,1244.723763433436
2025-05-04 20:00:00,35.94,idle,0.0,0.0,0.0,0.0,1244.723763433436
2025-05-04 21:00:00,28.07,idle,0.0,0.0,0.0,0.0,1244.723763433436
2025-05-04 22:00:00,27.96,idle,0.0,0.0,0.0,0.0,1244.723763433436
2025-05-04 23:00:00,38.88,idle,0.0,0.0,0.0,0.0,1244.723763433436
2025-05-05 00:00:00,36.27,idle,0.0,0.0,0.0,0.0,1244.723763433436
2025-05-05 01:00:00,45.99,idle,0.0,0.0,0.0,0.0,1244.723763433436
2025-05-05 02:00:00,75.48,idle,0.0,0.0,0.0,0.0,1244.723763433436
2025-05-05 03:00:00,81.91,discharge,0.0,0.0,0.0,0.0,1244.723763433436
2025-05-05 04:00:00,75.27,idle,0.0,0.0,0.0,0.0,1244.723763433436
2025-05-05 05:00:00,42.38,idle,0.0,0.0,0.0,0.0,1244.723763433436
2025-05-05 06:00:00,32.5,idle,0.0,0.0,0.0,0.0,1244.723763433436
2025-05-05 07:00:00,29.08,idle,0.0,0.0,0.0,0.0,1244.723763433436
2025-05-05 08:00:00,26.23,charge,5.0,0.0,4.743416490252569,-131.15,1113.573763433436
2025-05-05 09:00:00,26.42,charge,5.0,0.0,9.486832980505138,-132.10000000000002,981.4737634334359
2025-05-05 10:00:00,26.87,idle,0.0,0.0,9.486832980505138,0.0,981.4737634334359
2025-05-05 11:00:00,28.14,idle,0.0,0.0,9.486832980505138,0.0,981.4737634334359
2025-05-05 12:00:00,29.74,idle,0.0,0.0,9.486832980505138,0.0,981.4737634334359
2025-05-05 13:00:00,30.91,idle,0.0,0.0,9.486832980505138,0.0,981.4737634334359
2025-05-05 14:00:00,52.74,idle,0.0,0.0,9.486832980505138,0.0,981.4737634334359
2025-05-05 15:00:00,76.6,idle,0.0,0.0,9.486832980505138,0.0,981.4737634334359
2025-05-05 16:00:00,78.1,discharge,0.0,5.0,4.216370213557839,390.5,1371.973763433436
2025-05-05 17:00:00,67.0,idle,0.0,0.0,4.216370213557839,0.0,1371.973763433436
2025-05-05 18:00:00,34.08,idle,0.0,0.0,4.216370213557839,0.0,1371.973763433436
2025-05-05 19:00:00,30.46,idle,0.0,0.0,4.216370213557839,0.0,1371.973763433436
2025-05-05 20:00:00,34.35,idle,0.0,0.0,4.216370213557839,0.0,1371.973763433436
2025-05-05 21:00:00,35.17,idle,0.0,0.0,4.216370213557839,0.0,1371.973763433436
2025-05-05 22:00:00,35.09,idle,0.0,0.0,4.216370213557839,0.0,1371.973763433436
2025-05-05 23:00:00,34.85,idle,0.0,0.0,4.216370213557839,0.0,1371.973763433436
2025-05-06 00:00:00,36.92,idle,0.0,0.0,4.216370213557839,0.0,1371.973763433436
2025-05-06 01:00:00,43.47,idle,0.0,0.0,4.216370213557839,0.0,1371.973763433436
2025-05-06 02:00:00,78.9,idle,0.0,0.0,4.216370213557839,0.0,1371.973763433436
2025-05-06 03:00:00,94.61,idle,0.0,0.0,4.216370213557839,0.0,1371.973763433436
2025-05-06 04:00:00,83.07,idle,0.0,0.0,4.216370213557839,0.0,1371.973763433436
2025-05-06 05:00:00,64.17,idle,0.0,0.0,4.216370213557839,0.0,1371.973763433436
2025-05-06 06:00:00,45.73,idle,0.0,0.0,4.216370213557839,0.0,1371.973763433436
2025-05-06 07:00:00,35.01,idle,0.0,0.0,4.216370213557839,0.0,1371.973763433436
2025-05-06 08:00:00,30.73,charge,5.0,0.0,8.959786703810408,-153.65,1218.323763433436
2025-05-06 09:00:00,27.62,charge,1.096481089450153,0.0,10.0,-30.28480769061323,1188.0389557428227
2025-05-06 10:00:00,32.26,idle,0.0,0.0,10.0,0.0,1188.0389557428227
2025-05-06 11:00:00,35.26,idle,0.0,0.0,10.0,0.0,1188.0389557428227
2025-05-06 12:00:00,39.28,idle,0.0,0.0,10.0,0.0,1188.0389557428227
2025-05-06 13:00:00,47.46,idle,0.0,0.0,10.0,0.0,1188.0389557428227
2025-05-06 14:00:00,60.17,idle,0.0,0.0,10.0,0.0,1188.0389557428227
2025-05-06 15:00:00,85.59,idle,0.0,0.0,10.0,0.0,1188.0389557428227
2025-05-06 16:00:00,107.29,discharge,0.0,5.0,4.729537233052701,536.45,1724.4889557428228
2025-05-06 17:00:00,98.92,discharge,0.0,4.486832980505138,0.0,443.8375184315683,2168.326474174391
2025-05-06 18:00:00,74.98,idle,0.0,0.0,0.0,0.0,2168.326474174391
2025-05-06 19:00:00,62.07,idle,0.0,0.0,0.0,0.0,2168.326474174391
2025-05-06 20:00:00,56.85,idle,0.0,0.0,0.0,0.0,2168.326474174391
2025-05-06 21:00:00,50.11,idle,0.0,0.0,0.0,0.0,2168.326474174391
2025-05-06 22:00:00,48.66,idle,0.0,0.0,0.0,0.0,2168.326474174391
2025-05-06 23:00:00,49.88,idle,0.0,0.0,0.0,0.0,2168.326474174391
2025-05-07 00:00:00,55.97,charge,5.0,0.0,4.743416490252569,-279.85,1888.4764741743911
2025-05-07 01:00:00,80.47,idle,0.0,0.0,4.743416490252569,0.0,1888.4764741743911
2025-05-07 02:00:00,119.78,idle,0.0,0.0,4.743416490252569,0.0,1888.4764741743911
2025-05-07 03:00:00,143.95,discharge,0.0,4.5,0.0,647.775,2536.251474174391
2025-05-07 04:00:00,123.37,idle,0.0,0.0,0.0,0.0,2536.251474174391
2025-05-07 05:00:00,93.33,idle,0.0,0.0,0.0,0.0,2536.251474174391
2025-05-07 06:00:00,70.33,idle,0.0,0.0,0.0,0.0,2536.251474174391
2025-05-07 07:00:00,69.01,idle,0.0,0.0,0.0,0.0,2536.251474174391
2025-05-07 08:00:00,60.46,idle,0.0,0.0,0.0,0.0,2536.251474174391
2025-05-07 09:00:00,56.66,idle,0.0,0.0,0.0,0.0,2536.251474174391
2025-05-07 10:00:00,59.37,idle,0.0,0.0,0.0,0.0,2536.251474174391
2025-05-07 11:00:00,61.51,idle,0.0,0.0,0.0,0.0,2536.251474174391
2025-05-07 12:00:00,55.26,charge,5.0,0.0,4.743416490252569,-276.3,2259.951474174391
2025-05-07 13:00:00,88.81,idle,0.0,0.0,4.743416490252569,0.0,2259.951474174391
2025-05-07 14:00:00,107.75,idle,0.0,0.0,4.743416490252569,0.0,2259.951474174391
2025-05-07 15:00:00,133.88,idle,0.0,0.0,4.743416490252569,0.0,2259.951474174391
2025-05-07 16:00:00,144.53,discharge,0.0,4.5,0.0,650.385,2910.336474174391
2025-05-07 17:00:00,126.89,idle,0.0,0.0,0.0,0.0,2910.336474174391
2025-05-07 18:00:00,106.96,idle,0.0,0.0,0.0,0.0,2910.336474174391
2025-05-07 19:00:00,93.8,idle,0.0,0.0,0.0,0.0,2910.336474174391
2025-05-07 20:00:00,95.53,idle,0.0,0.0,0.0,0.0,2910.336474174391
2025-05-07 21:00:00,89.83,idle,0.0,0.0,0.0,0.0,2910.336474174391
2025-05-07 22:00:00,90.16,idle,0.0,0.0,0.0,0.0,2910.336474174391
2025-05-07 23:00:00,92.04,idle,0.0,0.0,0.0,0.0,2910.336474174391
2025-05-08 00:00:00,95.39,idle,0.0,0.0,0.0,0.0,2910.336474174391
2025-05-08 01:00:00,111.65,idle,0.0,0.0,0.0,0.0,2910.336474174391
2025-05-08 02:00:00,129.26,idle,0.0,0.0,0.0,0.0,2910.336474174391
2025-05-08 03:00:00,146.97,discharge,0.0,0.0,0.0,0.0,2910.336474174391
2025-05-08 04:00:00,125.11,idle,0.0,0.0,0.0,0.0,2910.336474174391
2025-05-08 05:00:00,101.94,idle,0.0,0.0,0.0,0.0,2910.336474174391
2025-05-08 06:00:00,90.03,idle,0.0,0.0,0.0,0.0,2910.336474174391
2025-05-08 07:00:00,77.7,idle,0.0,0.0,0.0,0.0,2910.336474174391
2025-05-08 08:00:00,66.45,charge,5.0,0.0,4.743416490252569,-332.25,2578.086474174391
2025-05-08 09:00:00,65.46,charge,5.0,0.0,9.486832980505138,-327.29999999999995,2250.7864741743906
2025-05-08 10:00:00,72.35,idle,0.0,0.0,9.486832980505138,0.0,2250.7864741743906
2025-05-08 11:00:00,86.47,idle,0.0,0.0,9.486832980505138,0.0,2250.7864741743906
2025-05-08 12:00:00,90.63,idle,0.0,0.0,9.486832980505138,0.0,2250.7864741743906
2025-05-08 13:00:00,96.3,idle,0.0,0.0,9.486832980505138,0.0,2250.7864741743906
