ts,se4_eur_mwh,se3_eur_mwh,spread_eur_mwh,abs_spread,rank_abs
2025-04-30 20:00:00,93.76,46.99,46.77,46.77,1
2025-04-30 21:00:00,85.87,43.65,42.22,42.22,2
2025-04-30 22:00:00,79.42,42.50,36.92,36.92,3
2025-04-30 23:00:00,74.87,38.06,36.81,36.81,4
2025-05-01 00:00:00,69.87,35.70,34.17,34.17,3
2025-05-01 01:00:00,66.09,35.21,30.88,30.88,5
2025-05-01 16:00:00,66.08,35.18,30.90,30.90,4
2025-05-01 17:00:00,88.74,46.77,41.97,41.97,2
2025-05-01 18:00:00,93.77,49.18,44.59,44.59,1
2025-05-01 19:00:00,63.87,33.27,30.60,30.60,6
2025-05-02 16:00:00,66.47,34.96,31.51,31.51,1
2025-05-02 17:00:00,66.02,34.66,31.36,31.36,2
2025-05-02 18:00:00,61.25,31.82,29.43,29.43,6
2025-05-02 21:00:00,60.99,30.55,30.44,30.44,3
2025-05-02 22:00:00,60.57,30.17,30.40,30.40,5
2025-05-02 23:00:00,60.57,30.16,30.41,30.41,4
2025-05-03 00:00:00,61.93,30.74,31.19,31.19,6
2025-05-03 15:00:00,74.93,37.02,37.91,37.91,3
2025-05-03 16:00:00,84.31,41.76,42.55,42.55,1
2025-05-03 17:00:00,76.06,37.85,38.21,38.21,2
2025-05-03 18:00:00,67.47,33.58,33.89,33.89,4
2025-05-03 19:00:00,63.82,32.26,31.56,31.56,5
2025-05-04 15:00:00,65.31,34.33,30.98,30.98,6
2025-05-04 16:00:00,73.90,38.60,35.30,35.30,3
2025-05-04 17:00:00,95.72,49.04,46.68,46.68,1
2025-05-04 18:00:00,92.94,49.10,43.84,43.84,2
2025-05-04 19:00:00,73.27,40.88,32.39,32.39,5
2025-05-04 23:00:00,73.01,38.88,34.13,34.13,4
2025-05-05 00:00:00,64.93,36.27,28.66,28.66,4
2025-05-05 01:00:00,85.53,45.99,39.54,39.54,1
2025-05-05 02:00:00,107.63,75.48,32.15,32.15,3
2025-05-05 03:00:00,119.64,81.91,37.73,37.73,2
2025-05-05 04:00:00,94.62,75.27,19.35,19.35,5
2025-05-05 05:00:00,57.88,42.38,15.50,15.50,6
2025-05-06 13:00:00,87.91,47.46,40.45,40.45,5
2025-05-06 14:00:00,104.33,60.17,44.16,44.16,3
2025-05-06 15:00:00,130.82,85.59,45.23,45.23,2
2025-05-06 16:00:00,157.16,107.29,49.87,49.87,1
2025-05-06 18:00:00,116.51,74.98,41.53,41.53,4
2025-05-06 19:00:00,100.89,62.07,38.82,38.82,6
2025-05-07 00:00:00,92.72,55.97,36.75,36.75,1
2025-05-07 01:00:00,105.96,80.47,25.49,25.49,2
2025-05-07 02:00:00,128.53,119.78,8.75,8.75,4
2025-05-07 10:00:00,66.08,59.37,6.71,6.71,6
2025-05-07 11:00:00,70.10,61.51,8.59,8.59,5
2025-05-07 12:00:00,79.63,55.26,24.37,24.37,3
2025-05-08 16:00:00,181.89,163.83,18.06,18.06,5
2025-05-08 17:00:00,142.60,135.47,7.13,7.13,6
2025-05-08 20:00:00,99.88,73.69,26.19,26.19,1
2025-05-08 21:00:00,94.72,71.84,22.88,22.88,3
2025-05-08 22:00:00,91.52,71.06,20.46,20.46,4
2025-05-08 23:00:00,92.82,68.53,24.29,24.29,2
2025-05-09 00:00:00,95.12,66.50,28.62,28.62,1
2025-05-09 01:00:00,89.87,71.09,18.78,18.78,2
2025-05-09 02:00:00,148.90,155.70,-6.80,6.80,3
2025-05-09 03:00:00,142.10,147.67,-5.57,5.57,5
2025-05-09 16:00:00,154.19,160.44,-6.25,6.25,4
2025-05-09 17:00:00,135.56,140.83,-5.27,5.27,6
2025-05-10 00:00:00,98.27,100.17,-1.90,1.90,4
2025-05-10 02:00:00,92.24,94.13,-1.89,1.89,5
2025-05-10 03:00:00,82.45,84.81,-2.36,2.36,3
2025-05-10 04:00:00,56.84,54.13,2.71,2.71,1
2025-05-10 13:00:00,47.71,45.34,2.37,2.37,2
2025-05-10 20:00:00,95.87,94.01,1.86,1.86,6
2025-05-11 00:00:00,90.64,92.13,-1.49,1.49,6
2025-05-11 01:00:00,88.04,89.94,-1.90,1.90,1
2025-05-11 02:00:00,79.75,81.25,-1.50,1.50,5
2025-05-11 06:00:00,4.34,5.99,-1.65,1.65,4
2025-05-11 15:00:00,113.76,115.59,-1.83,1.83,2
2025-05-11 19:00:00,86.28,84.52,1.76,1.76,3
2025-05-12 06:00:00,45.01,41.12,3.89,3.89,6
2025-05-12 19:00:00,91.10,84.41,6.69,6.69,5
2025-05-12 20:00:00,87.82,57.76,30.06,30.06,3
2025-05-12 21:00:00,86.47,46.58,39.89,39.89,1
2025-05-12 22:00:00,87.20,53.71,33.49,33.49,2
2025-05-12 23:00:00,90.29,76.44,13.85,13.85,4
2025-05-13 18:00:00,109.68,92.04,17.64,17.64,5
2025-05-13 19:00:00,100.56,85.04,15.52,15.52,6
2025-05-13 20:00:00,81.82,41.03,40.79,40.79,1
2025-05-13 21:00:00,78.05,39.37,38.68,38.68,2
