date,hours,da_mean,da_std,imb_mean,imb_std,corr,big_deviation_hours,p95_abs_spread,max_pos_spread,min_neg_spread
2025-04-30,2,77.15,3.22,34.09,3.87,,0,43.48,-42.59,-43.52
2025-05-01,24,41.39,32.45,34.87,8.06,-0.447,2,61.46,48.78,-68.54
2025-05-02,24,38.93,28.21,36.03,8.77,-0.067,0,45.32,47.26,-45.46
2025-05-03,24,38.76,30.7,29.15,8.22,-0.325,2,57.19,46.21,-66.4
2025-05-04,24,31.41,34.7,28.99,8.39,-0.62,4,70.81,41.41,-75.97
2025-05-05,24,60.68,23.31,34.11,8.97,0.25,6,65.79,0.96,-67.19
2025-05-06,24,81.06,32.72,35.01,9.55,-0.063,12,98.95,-2.6,-120.18
2025-05-07,24,97.89,25.0,34.73,8.76,-0.053,18,107.77,-13.55,-111.25
2025-05-08,24,104.3,27.25,36.24,8.45,-0.431,18,121.82,-26.34,-155.79
2025-05-09,24,92.26,33.63,33.8,9.73,-0.121,16,115.66,-2.8,-123.69
2025-05-10,24,65.84,44.67,28.76,10.56,-0.466,12,103.88,44.95,-136.85
2025-05-11,24,56.35,43.89,30.55,11.34,-0.478,11,100.78,51.75,-111.01
2025-05-12,24,85.98,41.62,35.54,9.65,-0.302,15,125.8,22.5,-147.49
2025-05-13,24,78.38,55.81,35.98,8.74,-0.264,11,120.53,44.98,-196.25
2025-05-14,24,61.96,45.06,35.09,9.86,-0.34,11,83.78,50.91,-99.11
2025-05-15,24,40.42,39.08,35.55,8.55,-0.057,4,65.06,48.91,-80.92
2025-05-16,24,33.92,24.46,35.03,10.24,-0.246,0,45.06,46.54,-36.03
2025-05-17,24,31.17,31.31,29.33,7.82,-0.514,6,57.42,42.83,-60.51
2025-05-18,24,27.36,32.89,29.12,9.91,-0.423,2,52.59,46.9,-61.18
2025-05-19,24,57.41,28.76,36.36,7.12,-0.296,6,65.86,41.16,-72.99
2025-05-20,24,53.34,34.73,35.16,8.24,-0.492,6,84.58,49.22,-92.19
2025-05-21,24,37.29,24.54,33.26,10.69,-0.168,2,51.19,42.37,-53.52
2025-05-22,24,39.31,34.12,37.05,8.71,-0.399,4,54.78,44.23,-60.92
2025-05-23,24,72.34,35.67,33.63,8.27,0.198,10,85.69,27.11,-98.21
2025-05-24,24,43.7,39.84,28.99,8.12,-0.556,6,85.31,39.18,-97.01
2025-05-25,24,18.59,25.46,28.89,9.84,-0.63,1,49.82,49.51,-52.87
2025-05-26,24,65.19,54.7,34.43,8.7,0.019,8,119.01,45.26,-144.45
2025-05-27,24,49.14,38.17,34.53,9.81,-0.311,6,79.33,38.11,-95.7
2025-05-28,24,85.27,23.96,33.35,11.5,-0.455,12,105.47,-8.87,-133.43
2025-05-29,24,43.96,33.02,35.19,11.12,0.05,2,56.89,46.02,-63.73
2025-05-30,22,22.06,21.07,33.46,9.45,-0.162,0,42.12,45.79,-42.17
